Date,Close
3/2/18,2691.25
3/1/18,2677.67
2/28/18,2713.83
2/27/18,2744.28
2/26/18,2779.60
2/23/18,2747.30
2/22/18,2703.96
2/21/18,2701.33
2/20/18,2716.26
2/16/18,2732.22
2/15/18,2731.20
2/14/18,2698.63
2/13/18,2662.94
2/12/18,2656.00
2/9/18,2619.55
2/8/18,2581.00
2/7/18,2681.66
2/6/18,2695.14
2/5/18,2648.94
2/2/18,2762.13
2/1/18,2821.98
1/31/18,2823.81
1/30/18,2822.43
1/29/18,2853.53
1/26/18,2872.87
1/25/18,2839.25
1/24/18,2837.54
1/23/18,2839.13
1/22/18,2832.97
1/19/18,2810.30
1/18/18,2798.03
1/17/18,2802.56
1/16/18,2776.42
1/12/18,2786.24
1/11/18,2767.56
1/10/18,2748.23
1/9/18,2751.29
1/8/18,2747.71
1/5/18,2743.15
1/4/18,2723.99
1/3/18,2713.06
1/2/18,2695.81
12/29/17,2673.61
12/28/17,2687.54
12/27/17,2682.62
12/26/17,2680.50
12/22/17,2683.34
12/21/17,2684.57
12/20/17,2679.25
12/19/17,2681.47
12/18/17,2690.16
12/15/17,2675.81
12/14/17,2652.01
12/13/17,2662.85
12/12/17,2664.11
12/11/17,2659.99
12/8/17,2651.50
12/7/17,2636.98
12/6/17,2629.27
12/5/17,2629.57
12/4/17,2639.44
12/1/17,2642.22
11/30/17,2647.58
11/29/17,2626.07
11/28/17,2627.04
11/27/17,2601.42
11/24/17,2602.42
11/22/17,2597.08
11/21/17,2599.03
11/20/17,2582.14
11/17/17,2578.85
11/16/17,2585.64
11/15/17,2564.62
11/14/17,2578.87
11/13/17,2584.84
11/10/17,2582.30
11/9/17,2584.62
11/8/17,2594.38
11/7/17,2590.64
11/6/17,2591.13
11/3/17,2587.84
11/2/17,2579.85
11/1/17,2579.36
10/31/17,2575.26
10/30/17,2572.83
10/27/17,2581.07
10/26/17,2560.40
10/25/17,2557.15
10/24/17,2569.13
10/23/17,2564.98
10/20/17,2575.21
10/19/17,2562.10
10/18/17,2561.26
10/17/17,2559.36
10/16/17,2557.64
10/13/17,2553.17
10/12/17,2550.93
10/11/17,2555.24
10/10/17,2550.64
10/9/17,2544.73
10/6/17,2549.33
10/5/17,2552.07
10/4/17,2537.74
10/3/17,2534.58
10/2/17,2529.12
9/29/17,2519.36
9/28/17,2510.06
9/27/17,2507.04
9/26/17,2496.84
9/25/17,2496.66
9/22/17,2502.22
9/21/17,2500.60
9/20/17,2508.24
9/19/17,2506.65
9/18/17,2503.87
9/15/17,2500.23
9/14/17,2495.62
9/13/17,2498.37
9/12/17,2496.48
9/11/17,2488.11
9/8/17,2461.43
9/7/17,2465.10
9/6/17,2465.54
9/5/17,2457.85
9/1/17,2476.55
8/31/17,2471.65
8/30/17,2457.59
8/29/17,2446.30
8/28/17,2444.24
8/25/17,2443.05
8/24/17,2438.97
8/23/17,2444.04
8/22/17,2452.51
8/21/17,2428.37
8/18/17,2425.55
8/17/17,2430.01
8/16/17,2468.11
8/15/17,2464.61
8/14/17,2465.84
8/11/17,2441.32
8/10/17,2438.21
8/9/17,2474.02
8/8/17,2474.92
8/7/17,2480.91
8/4/17,2476.83
8/3/17,2472.16
8/2/17,2477.57
8/1/17,2476.35
7/31/17,2470.30
7/28/17,2472.10
7/27/17,2475.42
7/26/17,2477.83
7/25/17,2477.13
7/24/17,2469.91
7/21/17,2472.54
7/20/17,2473.45
7/19/17,2473.83
7/18/17,2460.61
7/17/17,2459.14
7/14/17,2459.27
7/13/17,2447.83
7/12/17,2443.25
7/11/17,2425.53
7/10/17,2427.43
7/7/17,2425.18
7/6/17,2409.75
7/5/17,2432.54
7/3/17,2429.01
6/30/17,2423.41
6/29/17,2419.70
6/28/17,2440.69
6/27/17,2419.38
6/26/17,2439.07
6/23/17,2438.30
6/22/17,2434.50
6/21/17,2435.61
6/20/17,2437.03
6/19/17,2453.46
6/16/17,2433.15
6/15/17,2432.46
6/14/17,2437.92
6/13/17,2440.35
6/12/17,2429.39
6/9/17,2431.77
6/8/17,2433.79
6/7/17,2433.14
6/6/17,2429.33
6/5/17,2436.10
6/2/17,2439.07
6/1/17,2430.06
5/31/17,2411.80
5/30/17,2412.91
5/26/17,2415.82
5/25/17,2415.07
5/24/17,2404.39
5/23/17,2398.42
5/22/17,2394.02
5/19/17,2381.73
5/18/17,2365.72
5/17/17,2357.03
5/16/17,2400.67
5/15/17,2402.32
5/12/17,2390.90
5/11/17,2394.44
5/10/17,2399.63
5/9/17,2396.92
5/8/17,2399.38
5/5/17,2399.29
5/4/17,2389.52
5/3/17,2388.14
5/2/17,2391.17
5/1/17,2388.33
4/28/17,2384.20
4/27/17,2388.77
4/26/17,2387.45
4/25/17,2388.62
